test_case,metric_type,trial_num,best
71,SA,1,1.0
71,MC_Avg,0,4182334.374552527
71,Avg,1,4182334.2090991666
72,MC_SA,0,0.645698
72,SA,1,0.6456984156468931
72,MC_Avg,0,340580.52139085095
72,Avg,1,340580.2972886701
73,MC_SA,0,0.3717
73,SA,1,0.3717000830070891
73,MC_Avg,0,-1926604.985956968
73,Avg,1,-1926604.967035851
74,MC_SA,0,0.762982
74,SA,1,0.7629822460512776
74,MC_Avg,0,2051701.781307534
74,Avg,1,2051701.8864760292
75,MC_SA,0,0.319097
75,SA,1,0.31909668970522564
75,MC_Avg,0,-3079582.7979898066
75,Avg,1,-3079582.7054187916
76,MC_SA,0,0.486109
76,SA,1,0.48610913899973385
76,MC_Avg,0,-11833.902750467078
76,Avg,1,-11833.72167701344
77,MC_SA,0,0.616035
77,SA,1,0.616035089128564
77,MC_Avg,0,-229352.0750284765
77,Avg,1,-229352.2495704539
78,MC_SA,0,0.779084
78,SA,1,0.7790839647056507
78,MC_Avg,0,575915.6484841333
78,Avg,1,575915.7230354133
79,MC_SA,0,0.735276
79,SA,1,0.735275743193886
79,MC_Avg,0,11320.42702602516
79,Avg,1,11320.21994947466
80,MC_SA,0,0.414383
80,SA,1,0.4143834192780696
80,MC_Avg,0,-2260485.449558056
80,Avg,1,-2260485.5038572336
81,MC_SA,0,0.0
81,SA,1,0.0
81,MC_Avg,0,-2781662.08422
81,Avg,1,-2781662.1909008333
82,MC_SA,0,0.596248
82,SA,1,0.5962471837514899
82,MC_Avg,0,-192927.79827821185
82,Avg,1,-192927.76672781882
83,MC_SA,0,0.558024
83,SA,1,0.5580238716229158
83,MC_Avg,0,378451.35357312567
83,Avg,1,378451.4839549634
84,MC_SA,0,0.480918
84,SA,1,0.4809183222219534
84,MC_Avg,0,-2561229.5841796286
84,Avg,1,-2561229.5941526312
85,MC_SA,0,0.58805
85,SA,1,0.5880493661376287
85,MC_Avg,0,-357925.839017708
85,Avg,1,-357925.7775037019
86,MC_SA,0,0.42024
86,SA,1,0.4202395850852889
86,MC_Avg,0,-1048043.5359138806
86,Avg,1,-1048043.3272028522
87,MC_SA,0,0.735276
87,SA,1,0.735275743193886
87,MC_Avg,0,1151479.058263904
87,Avg,1,1151479.247539158
88,MC_SA,0,0.767699
88,SA,1,0.7676988993548571
88,MC_Avg,0,384786.36322180537
88,Avg,1,384786.4025031914
89,MC_SA,0,0.785646
89,SA,1,0.7856453918699282
89,MC_Avg,0,-263498.0866238575
89,Avg,1,-263497.9237102878
90,MC_SA,0,0.718821
90,SA,1,0.7188212019397966
90,MC_Avg,0,1154226.019614667
90,Avg,1,1154226.1303410083
91,MC_SA,0,0.217614
91,SA,1,0.21555664439397126
91,MC_Avg,0,-2104381.78608337
91,Avg,1,-2104273.348013496
92,MC_SA,0,0.602775
92,SA,1,0.5865250382462894
92,MC_Avg,0,-1113023.2811775676
92,Avg,1,-1102300.3448047682
93,MC_SA,0,0.840158
93,SA,1,0.8425288241075564
93,MC_Avg,0,3076379.5000701337
93,Avg,1,3074078.1448216545
94,MC_SA,0,0.893055
94,SA,1,0.8939120832778326
94,MC_Avg,0,2558724.270101873
94,Avg,1,2556023.2232119595
95,MC_SA,0,0.584872
95,SA,1,0.5680880794185702
95,MC_Avg,0,51174.7746048652
95,Avg,1,52494.97562634139
