test_case,metric_type,best_0,best_1,best_2,best_3,best_4,best_5
23,SA,0.812461,0.8387183268851349,0.8387183268851349,0.8387183268851349,0.8387183268851349,0.8387183268851349
24,Avg,-639740.4372429714,-643047.9541239653,-643047.9541239653,-643047.9541239653,-643047.9541239653,-643047.9541239653
24,SA,0.962647,0.9627818074317952,0.9627818074317952,0.9627818074317952,0.9627818074317952,0.9627818074317952
25,Avg,603167.0294833805,602602.988163685,602602.988163685,602602.988163685,602602.988163685,602602.988163685
25,SA,0.709078,0.698869052232682,0.698869052232682,0.698869052232682,0.698869052232682,0.698869052232682
26,Avg,323865.0473000222,316246.4839459553,316246.4839459553,316246.4839459553,316246.4839459553,316246.4839459553
26,SA,0.905713,0.9086763266778048,0.9086763266778048,0.9086763266778048,0.9086763266778048,0.9086763266778048
27,Avg,-2929052.4053334496,-2920283.9025434377,-2920283.9025434377,-2920283.9025434377,-2920283.9025434377,-2920283.9025434377
27,SA,0.277598,0.2725994954356016,0.2725994954356016,0.2725994954356016,0.2725994954356016,0.2725994954356016
28,Avg,-2325590.604640491,-2306037.8020895286,-2306037.8020895286,-2306037.8020895286,-2306037.8020895286,-2306037.8020895286
28,SA,0.685488,0.678484350608014,0.678484350608014,0.678484350608014,0.678484350608014,0.678484350608014
29,Avg,1260821.0772204092,1260755.3442256032,1260755.3442256032,1260755.3442256032,1260755.3442256032,1260755.3442256032
29,SA,0.887578,0.8942863839737208,0.8942863839737208,0.8942863839737208,0.8942863839737208,0.8942863839737208
30,Avg,-1211401.4629156692,-1208106.885018604,-1208106.885018604,-1208106.885018604,-1208106.885018604,-1208106.885018604
30,SA,0.832019,0.8367950560181321,0.8367950560181321,0.8367950560181321,0.8367950560181321,0.8367950560181321
31,Avg,1704320.335388698,1704320.416313298,1704320.416313298,1704320.416313298,1704320.416313298,1704320.416313298
31,SA,0.746783,0.7534672608016904,0.7534672608016904,0.7534672608016904,0.7534672608016904,0.7534672608016904
32,Avg,-3950388.6262379056,-3943020.399324019,-3943020.399324019,-3943020.399324019,-3943020.399324019,-3943020.399324019
32,SA,0.254909,0.2506197039709567,0.2506197039709567,0.2506197039709567,0.2506197039709567,0.2506197039709567
33,Avg,-1545054.4230701593,-1547864.0342981513,-1547864.0342981513,-1547864.0342981513,-1547864.0342981513,-1547864.0342981513
33,SA,0.610042,0.6026154528639266,0.6026154528639266,0.6026154528639266,0.6026154528639266,0.6026154528639266
34,Avg,-3696070.738671179,-3690477.73929742,-3690477.73929742,-3690477.73929742,-3690477.73929742,-3690477.73929742
34,SA,0.069296,0.0676230869792365,0.0676230869792365,0.0676230869792365,0.0676230869792365,0.0676230869792365
35,Avg,-1105624.7692410254,-1102693.8144672103,-1102693.8144672103,-1102693.8144672103,-1102693.8144672103,-1102693.8144672103
35,SA,0.516158,0.4969477902992077,0.4969477902992077,0.4969477902992077,0.4969477902992077,0.4969477902992077
36,Avg,-818070.9254566951,-807519.0518623443,-807519.0518623443,-807519.0518623443,-807519.0518623443,-807519.0518623443
36,SA,0.478435,0.459820929923213,0.459820929923213,0.459820929923213,0.459820929923213,0.459820929923213
