test_case,metric_type,trial_num,best
89,SA,1,0.7856453918699282
89,MC_Avg,0,-263497.867776685
89,Avg,1,-263497.9237102888
90,MC_SA,0,0.718821
90,SA,1,0.7188212019397966
90,MC_Avg,0,1154226.1931055887
90,Avg,1,1154226.130341008
91,MC_SA,0,0.217342
91,SA,1,0.21555660979503025
91,MC_Avg,0,-2105031.0579111446
91,Avg,1,-2104273.348013496
92,MC_SA,0,0.602522
92,SA,1,0.5974771571713995
92,MC_Avg,0,-1110529.1720181706
92,Avg,1,-1077557.2776492746
93,MC_SA,0,0.839998
93,SA,1,0.8425288399052948
93,MC_Avg,0,3074172.3149122614
93,Avg,1,3074106.2339347005
94,MC_SA,0,0.892503
94,SA,1,0.8939120819583076
94,MC_Avg,0,2557606.502122227
94,Avg,1,2556023.223216638
95,MC_SA,0,0.58528
95,SA,1,0.5608073993486589
95,MC_Avg,0,51326.05467019316
95,Avg,1,52494.97559949557
96,MC_SA,0,0.931864
96,SA,1,0.9360897993272345
96,MC_Avg,0,2525377.4408402005
96,Avg,1,2525620.615780349
97,MC_SA,0,0.487965
97,SA,1,0.4709873377295514
97,MC_Avg,0,-1184685.8294415665
97,Avg,1,-1185573.131251518
98,MC_SA,0,0.691444
98,SA,1,0.6838937520455747
98,MC_Avg,0,1033144.5350181207
98,Avg,1,1033221.4709655102
99,MC_SA,0,0.5582
99,SA,1,0.540330300436864
99,MC_Avg,0,332739.81132027775
99,Avg,1,329671.3296931536
100,MC_SA,0,0.421237
100,SA,1,0.4138258248153075
100,MC_Avg,0,-2175484.2215483417
100,Avg,1,-2173380.033173193
101,MC_SA,0,0.707335
101,SA,1,0.7074775406444104
101,MC_Avg,0,1163633.3706655672
101,Avg,1,1164223.1873324097
102,MC_SA,0,0.755268
102,SA,1,0.7556216037884704
102,MC_Avg,0,806349.3765063168
102,Avg,1,806706.5708791681
103,MC_SA,0,0.770157
103,SA,1,0.7701514009269614
103,MC_Avg,0,959989.1175161378
103,Avg,1,960053.750796756
104,MC_SA,0,0.808387
104,SA,1,0.8084739957728396
104,MC_Avg,0,2255806.56486132
104,Avg,1,2255667.770027415
105,MC_SA,0,0.779412
105,SA,1,0.7792185127755227
105,MC_Avg,0,2272468.245865652
105,Avg,1,2272011.401451774
106,MC_SA,0,0.440232
106,SA,1,0.44044719274968885
106,MC_Avg,0,-590183.8577101075
106,Avg,1,-589513.911500115
107,MC_SA,0,0.665149
107,SA,1,0.665144576607684
107,MC_Avg,0,1161312.8051553334
107,Avg,1,1161402.2011252525
108,MC_SA,0,0.713432
108,SA,1,0.7137634964396294
108,MC_Avg,0,247470.54630887829
